type,title,kids,id,by,descendants,time,score,text
story,Ask HN: What are hardware development learning web tutorials?,"[15734338, 15734370, 15734205, 15734847, 15735407, 15734239, 15734584, 15734464, 15734328, 15733851, 15734471, 15734418, 15733765, 15733876, 15734531, 15734282, 15733960, 15734452, 15733766]",15733760,yadavrg,21,2017-11-19-15:11:01,111,
story,Ask HN: We didn't get a single person to pay for our SAAS – what could be wrong?,"[15733247, 15735187, 15735068, 15733797, 15733737, 15733040, 15734673, 15733333, 15733190, 15733186, 15734087, 15734942, 15733370, 15735422, 15732813, 15734412, 15733211, 15733509, 15735241, 15734106, 15733208, 15733389, 15733081, 15733444, 15734665, 15734821, 15733246, 15733460, 15734368, 15733708, 15735149, 15733377, 15734978, 15733802, 15732982, 15734104, 15733676, 15734342, 15733362, 15733712, 15733593, 15733093, 15734176, 15733466, 15733747, 15733829, 15735231, 15733264, 15733912, 15733667, 15733610, 15733218, 15733272, 15733153, 15733100, 15734854, 15732797, 15733859, 15734265, 15732984, 15734868, 15733569, 15733126, 15734199, 15733546, 15733371, 15732980, 15733234, 15733322, 15733897, 15733746, 15732993, 15734822, 15733184, 15733585, 15733605, 15735030, 15733267, 15734085, 15734039, 15733791, 15734403, 15733762, 15733269, 15733463, 15733450, 15733336, 15733928]",15732752,cod3boy,238,2017-11-19-09:34:00,141,"It&#x27;s not the product, I strongly believe we have a decent product.<p>we recently launched Sieve PRO 
https:&#x2F;&#x2F;www.producthunt.com&#x2F;posts&#x2F;sieve-pro<p>https:&#x2F;&#x2F;www.sievehq.com&#x2F; a saas, where we provide all tools for anyone in tech to start freelancing in 15 minutes. This includes a personal website, client on-boarding, NDAs, requirement collection, eventually invoices, payments, and agreements.<p>When we had 600 people coming to our website, had 400 people click the signup but only 40 people signed up and NO ONE PAID.<p>We were asking for yearly payment $348 ($29&#x2F;mo) as a part of Elite 100 program where we give away 100,000 shares for the first 100 people and all the features coming up in the next year for free.<p>What did we do wrong?"
story,Ask HN: How do you read programming books?,"[15735162, 15734757, 15734731, 15733905, 15733826, 15733946, 15734859, 15735403, 15734291, 15733886, 15735094, 15734056, 15735035, 15734871, 15735012, 15733971, 15733936, 15734733, 15734685, 15735217, 15734974, 15733920, 15733900, 15735054, 15734092]",15733745,pvsukale3,43,2017-11-19-15:05:30,91,"How do you read a programming book? By programming books, I mean books which teach a language&#x2F;framework&#x2F;tool.<p>Do you read it in one go and later try examples or go through entire book by trying all examples?<p>Do you read the entire book or just the part to get the job done?<p>What methods&#x2F;techniques have you found useful while reading such books?"
story,Ask HN: What are some rigorous ways to review and test usability of web apps?,"[15733903, 15735257, 15734591, 15735406, 15735374, 15734160]",15733629,altsyset,10,2017-11-19-14:37:04,38,"I am looking for a better and rigorous ways of reviewing and testing web applications&#x27; usability. I use some of this criteria as a measure. But I am not satisfied, I believe even this criteria are vague and can be simplified. What are some you use? Or how can we simplify these points, maybe break them down into something specific?<p>1. Consistent theme - pattern, layout colour, icons and fonts,<p>2. Simplicity and minimalism (Avoids unnecessary repetition)<p>3. Consistent messaging and communication,<p>4. User assistant and user guidance, with data. Expecting less from the user.<p>5. Inline help and other documentation<p>6. Error handling and communication of errors,<p>7. Error prevention and fallbacks<p>Are there any that I should include? Is there any way to make them be more specific and dead simple?"
story,Ask HN: What office chair do you use?,"[15735641, 15735533, 15735523, 15735442, 15735226, 15735503, 15735304, 15735160, 15735168, 15733861]",15733672,polote,13,2017-11-19-14:48:22,13,I spend a lot of time at home programming and I feel like being on a usual office chair is not best and not very comfortable. Do any of you use a less usual chair like the Altwork Station for example ?
story,Ask HN: I'm lonely. Are there any video chat support groups for solo founders?,"[15735022, 15732309, 15732219, 15732355, 15732357, 15733993, 15732486, 15733037, 15732099, 15732796, 15732236, 15733188, 15732245, 15732121, 15735320, 15733500, 15732189, 15733395, 15732250, 15734387, 15734258, 15733639, 15733396, 15734290, 15732349, 15732117, 15732247, 15735117, 15732711, 15732214, 15732194, 15732405, 15732557, 15732203, 15732168, 15732493, 15732224, 15732358, 15732154, 15732179, 15732421, 15733181, 15732693, 15732182, 15732419, 15732255, 15732300, 15732972, 15733271, 15732199, 15732608, 15732186, 15734158, 15732234, 15732237, 15732810]",15732087,danschumann,161,2017-11-19-05:25:41,256,
story,Ask HN: Which load testing tool do you use? Any recommendations?,"[15735247, 15735256, 15734415, 15733943]",15733910,symbolepro,4,2017-11-19-16:01:58,13,
story,Ask HN: Using gRPC+protobuf is painful. Any nice-to-use alternatives?,"[15735459, 15735242, 15735369, 15735240, 15735099]",15734666,leksak,7,2017-11-19-19:06:13,12,"I&#x2F;We am&#x2F;are using gRPC+protobuf on a side-project with a couple of friends (Java) but I&#x27;m finding it terribly painful to use, especially for complex objects. The builders become nigh on illegible and failing to set attributes as protocols have evolved over time has been a genuine problem.<p>I believe that using Kotlin for our data classes might very well mitigate a few issues (reducing boilerplate =&gt; happiness) but obviously, it won&#x27;t be an end-all-be-all.<p>Protobuf+gRPC seems great when you have a project where there may be dozens of languages in use but that is simply not the case here.<p>What are you using? What&#x27;s your pain level? Is Finagle nice to use outside of Scala?"
story,Ask HN: What tech were you convinced would take the world by storm but didn't?,"[15719077, 15721025, 15720640, 15722654, 15719663, 15722356, 15720274, 15719171, 15722409, 15720999, 15721243, 15721916, 15719561, 15719911, 15719532, 15721657, 15722274, 15719831, 15719338, 15719988, 15720005, 15719071, 15722853, 15719021, 15722097, 15720375, 15719470, 15720872, 15719067, 15719068, 15718714, 15719232, 15720344, 15721518, 15720736, 15719158, 15719766, 15719057, 15720429, 15724384, 15719019, 15719396, 15719681, 15721961, 15720021, 15719066, 15720627, 15719120, 15719106, 15719008, 15723746, 15721323, 15719860, 15723335, 15721678, 15719199, 15729281, 15723217, 15723128, 15722094, 15727423, 15720618, 15722971, 15722483, 15719802, 15724533, 15719229, 15719026, 15720174, 15723884, 15721057, 15721625, 15721701, 15719618, 15724776, 15721795, 15719225, 15724566, 15721046, 15723583, 15720503, 15723410, 15721189, 15719733, 15722787, 15722691, 15720175, 15720545, 15719506, 15720323, 15721789, 15719956, 15726845, 15719382, 15720276, 15723250, 15719339, 15721090, 15719096, 15727211, 15721806, 15720764, 15721709, 15721128, 15719650, 15720900, 15727066, 15722889, 15720554, 15722286, 15721099, 15720073, 15719125, 15724560, 15722055, 15721743, 15722876, 15722277, 15719166, 15722003, 15719750, 15724201, 15720512, 15719168, 15720490, 15719946, 15718953, 15720795, 15719617, 15722521, 15719841, 15721772, 15720486, 15719768, 15722969, 15720531, 15722014, 15720762, 15720721, 15720509, 15720072, 15722698, 15720745, 15722367, 15719459, 15719221, 15723454, 15719845, 15719509, 15719135, 15728228, 15720754, 15722834, 15719730, 15720497, 15720646, 15720211, 15720321, 15720377, 15720458, 15725590, 15719022, 15719479, 15720728, 15723109, 15730495, 15722207, 15720766, 15720596, 15720591, 15720494, 15720445, 15719834, 15721922, 15720588, 15720792, 15720365, 15720510, 15719864, 15720517, 15721717, 15719652, 15720643, 15720505, 15722340, 15720771, 15722704, 15722343, 15719729, 15720656, 15720608, 15720597, 15720551, 15719162, 15719087, 15719943, 15720069]",15718653,swyx,960,2017-11-17-05:24:31,391,
story,Ask HN: What are the not-so obvious things to consider while API integration?,"[15730160, 15729943, 15730087, 15731109, 15730913, 15731199, 15733372, 15731076, 15733769, 15731483, 15731496, 15729736, 15731388, 15730934, 15730767, 15730719, 15730112, 15731672]",15729471,path89,49,2017-11-18-18:01:23,70,"We are in the process of selecting an external vendor to integrate with. So, right now we are reading documentations of potential vendors and in the process of doing a doing a feasibility study.
Assuming all vendors provide similar capabilities in terms of costs, features, support, API response times, load testing results and the like what are some pratical things to consider before moving forward ahead with one?"
